variable,with_followup_n,without_followup_n,with_followup_mean,without_followup_mean,standardized_mean_difference,with_followup_sd,without_followup_sd,with_followup_missing,without_followup_missing,source
age_at_tau,223,113,75.8504609865471,75.03891504424779,0.09957652949423805,7.469434732538419,8.777906180273426,0,0,baseline_summary
sex_male,223,113,0.48878923766816146,0.39823008849557523,0.18243985687639036,0.5009988810392387,0.4917138941797928,0,0,baseline_summary
education_years,223,113,16.112107623318387,16.548672566371682,-0.18180786165358206,2.344436878368308,2.4567369126346006,0,0,baseline_summary
apoe4_carrier,223,113,0.5919282511210763,0.7079646017699115,-0.2442913933247834,0.4925822328202378,0.4567238914502851,0,0,baseline_summary
tau_temporal_suvr,223,113,1.4780358744394617,1.5475486725663716,-0.16322837573483737,0.3895510103930144,0.4593117325946672,0,0,baseline_summary
baseline_cdrsb,223,113,1.9103139013452914,2.1769911504424777,-0.09754701462271206,2.4140227332976703,3.0199636010565922,0,0,baseline_summary
baseline_offset_days,223,113,-44.775784753363226,-40.8141592920354,-0.10000917265567212,39.74030502415551,39.48452424516797,0,0,baseline_summary
diagnosis_CN,223,110,0.3452914798206278,0.4090909090909091,-0.13146324120809322,,,,,diagnosis_summary
diagnosis_MCI,223,110,0.4260089686098655,0.36363636363636365,0.12742979645505112,,,,,diagnosis_summary
diagnosis_Dementia,223,110,0.22869955156950672,0.22727272727272727,0.003389419787411562,,,,,diagnosis_summary
diagnosis_Unavailable,223,113,0.0,0.02654867256637168,-0.23251398110196328,,,,,diagnosis_summary
