population,outcome,tau_suvr,reference_tau,full_mean,full_mean_ci95_lower,full_mean_ci95_upper,full_contrast_to_reference,full_contrast_to_reference_ci95_lower,full_contrast_to_reference_ci95_upper,retained_mean,retained_mean_ci95_lower,retained_mean_ci95_upper,retained_contrast_to_reference,retained_contrast_to_reference_ci95_lower,retained_contrast_to_reference_ci95_upper,retained_minus_full_mean,retained_minus_full_shape
all_eligible,hippocampus_icv,1.1112,1.341,0.005216085624008817,0.005064792486269373,0.005367378761748262,0.00033711596052417525,0.00013902630738802583,0.0005352056136603247,0.005210065102832045,0.005064695112465931,0.005355435093198159,0.0003302142022182905,0.00014180553968632284,0.0005186228647502582,-6.020521176772556e-06,-6.90175830588474e-06
all_eligible,hippocampus_icv,1.121383,1.341,0.005201018686846014,0.0050608590997047575,0.005341178273987271,0.0003220490233613731,0.00013914461848255356,0.0005049534282401926,0.005194126874095401,0.005059604332819896,0.0053286494153709065,0.00031427597348164646,0.00014027222716661304,0.0004882797197966799,-6.8918127506126595e-06,-7.773049879726632e-06
all_eligible,hippocampus_icv,1.1315659999999998,1.341,0.005185956877450417,0.005055766085008001,0.005316147669892833,0.0003069872139657756,0.00013880180967596273,0.0004751726182555885,0.00517825897134829,0.005053522167508535,0.005302995775188044,0.00029840807073453586,0.00013836338486223544,0.00045845275660683625,-7.697906102127443e-06,-8.579143231239735e-06
all_eligible,hippocampus_icv,1.141749,1.341,0.0051709007672199134,0.005049366505403381,0.005292435029036446,0.0002919311037352723,0.0001379500137687924,0.00044591219370175225,0.005162469231163723,0.005046318668587106,0.00527861979374034,0.00028261833054996825,0.00013604077294865455,0.00042919588815128196,-8.431536056190472e-06,-9.312773185304066e-06
all_eligible,hippocampus_icv,1.151932,1.341,0.005155850927552396,0.005041528845509243,0.005270173009595549,0.00027688126406775457,0.00013654182724459827,0.0004172207008909109,0.0051467654901147086,0.005037874366933735,0.0052556566132956825,0.0002669145895009548,0.00013326666946277804,0.0004005625095391316,-9.085437437687457e-06,-9.96667456679975e-06
all_eligible,hippocampus_icv,1.162115,1.341,0.005140807929845755,0.005032157601761498,0.005249458257930012,0.0002618382663611127,0.00013453070899508074,0.0003891458237271447,0.0051311555847742595,0.005028098051178411,0.005234213118370108,0.0002513046841605056,0.0001300042857922691,0.00037260508252874206,-9.652345071495434e-06,-1.053358220060713e-05
all_eligible,hippocampus_icv,1.172298,1.341,0.005125772345497879,0.005021216728384926,0.005230327962610832,0.0002468026820132375,0.00013187160115940685,0.00036173376286706817,0.005115647351715387,0.005016948398414178,0.005214346305016596,0.0002357964511016314,0.00012621840732830617,0.0003453744948749566,-1.0124993782492306e-05,-1.1006230911606116e-05
all_eligible,hippocampus_icv,1.182481,1.341,0.0051107447459066615,0.005008748848317955,0.005212740643495368,0.00023177508242201993,0.00012852188353263267,0.0003350282813114072,0.005100248627511097,0.005004453756806697,0.005196043498215497,0.00022039772689734274,0.0001218763686212048,0.00031891908517348065,-1.049611839556465e-05,-1.1377355524677186e-05
all_eligible,hippocampus_icv,1.192664,1.341,0.005095725702469992,0.004994881832189587,0.005196569572750396,0.00021675603898534988,0.0001244428181963768,0.00030906925977432296,0.005084967248734404,0.004990722156241852,0.005179212341226955,0.00020511634812064953,0.00011694951390080656,0.0002932831823404925,-1.0758453735587765e-05,-1.1639690864700356e-05
all_eligible,hippocampus_icv,1.202847,1.341,0.00508071578658576,0.0049798182918129605,0.005181613281358559,0.00020174612310111843,0.00011960169122292049,0.0002838905549793164,0.005069811051958316,0.004975935847595809,0.005163686256320822,0.00018996015134456262,0.00011141533707734575,0.0002685049656117795,-1.0904734627443895e-05,-1.1785971756555808e-05
all_eligible,hippocampus_icv,1.2130299999999998,1.341,0.005065715569651858,0.004963811149743595,0.0051676199895601205,0.0001867459061672163,0.00011397489588711049,0.0002595169164473221,0.005054787873755847,0.004960331254766203,0.005149244492745491,0.00017493697314209262,0.00010526052129580289,0.00024461342498838235,-1.092769589601094e-05,-1.1808933025123693e-05
all_eligible,hippocampus_icv,1.2232129999999999,1.341,0.005050725623066176,0.004947134170014563,0.0051543170761177886,0.0001717559595815338,0.00010755218582180729,0.00023595973334126033,0.005039905550700004,0.004944171624905849,0.005135639476494158,0.0001600546500862496,9.84850657685405e-05,0.00022162423440395872,-1.082007236617201e-05,-1.1701309495284193e-05
