analysis,step,n
primary_Aplus_180d,01_A_positive,385
primary_Aplus_180d,02_pair_window,385
primary_Aplus_180d,03_complete_covariates,351
primary_Aplus_180d,04_unambiguous_baseline,336
primary_Aplus_180d,05_with_required_followup,223
primary_Aplus_180d,excluded_baseline_no_visit,15
sensitivity_prePET_baseline,01_A_positive,385
sensitivity_prePET_baseline,02_pair_window,385
sensitivity_prePET_baseline,03_complete_covariates,351
sensitivity_prePET_baseline,04_unambiguous_baseline,330
sensitivity_prePET_baseline,05_with_required_followup,218
sensitivity_prePET_baseline,excluded_baseline_no_visit,21
sensitivity_90d,01_A_positive,385
sensitivity_90d,02_pair_window,376
sensitivity_90d,03_complete_covariates,342
sensitivity_90d,04_unambiguous_baseline,285
sensitivity_90d,05_with_required_followup,185
sensitivity_90d,excluded_baseline_no_visit,57
sensitivity_2_followups,01_A_positive,385
sensitivity_2_followups,02_pair_window,385
sensitivity_2_followups,03_complete_covariates,351
sensitivity_2_followups,04_unambiguous_baseline,336
sensitivity_2_followups,05_with_required_followup,99
sensitivity_2_followups,excluded_baseline_no_visit,15
