Characteristic,Baseline eligible,With follow-up,Without follow-up
"Participants, n",336,223,113
"A+T-, n",161,108,53
"A+T+, n",175,115,60
"Age, years",75.6 (7.9); n=336,75.9 (7.5); n=223,75.0 (8.8); n=113
Male sex,154/336 (45.8%),109/223 (48.9%),45/113 (39.8%)
"Education, years",16.3 (2.4); n=336,16.1 (2.3); n=223,16.5 (2.5); n=113
APOE ε4 carrier,212/336 (63.1%),132/223 (59.2%),80/113 (70.8%)
Tau SUVR,1.358 (1.221–1.666); n=336,1.348 (1.216–1.634); n=223,1.378 (1.238–1.700); n=113
Baseline CDR-SB,1.0 (0.0–3.0); n=336,1.0 (0.0–2.5); n=223,1.0 (0.0–3.0); n=113
Diagnosis: CN,122/333 (36.6%),77/223 (34.5%),45/110 (40.9%)
Diagnosis: MCI,135/333 (40.5%),95/223 (42.6%),40/110 (36.4%)
Diagnosis: Dementia,76/333 (22.8%),51/223 (22.9%),25/110 (22.7%)
"Diagnosis unavailable, n",3,0,3
