Characteristic,With follow-up,Without follow-up,SMD,"Missing, with/without"
"Age, years",75.85 (7.47); n=223,75.04 (8.78); n=113,0.100,0/0
Male sex,109/223 (48.9%),45/113 (39.8%),0.182,0/0
"Education, years",16.11 (2.34); n=223,16.55 (2.46); n=113,-0.182,0/0
APOE ε4 carrier,132/223 (59.2%),80/113 (70.8%),-0.244,0/0
Tau SUVR,1.478 (0.390); n=223,1.548 (0.459); n=113,-0.163,0/0
Baseline CDR-SB,1.91 (2.41); n=223,2.18 (3.02); n=113,-0.098,0/0
"Baseline CDR-SB offset, days",-44.78 (39.74); n=223,-40.81 (39.48); n=113,-0.100,0/0
Diagnosis: CN,77/223 (34.5%),45/110 (40.9%),-0.131,0/3
Diagnosis: MCI,95/223 (42.6%),40/110 (36.4%),0.127,0/3
Diagnosis: Dementia,51/223 (22.9%),25/110 (22.7%),0.003,0/3
Diagnosis: Unavailable,0/223 (0.0%),3/113 (2.7%),-0.233,0/0
