model,stage,period,n_observations,n_participants,observed_mean,fitted_mean,observed_zero_fraction,mean_residual
primary_gaussian_linear_time,A+T+,"(0,1]y",8,8,5.9375,4.453402869229394,0.0,1.4840971307706061
primary_gaussian_linear_time,A+T+,"(1,2]y",104,101,4.223076923076923,3.978241678216013,0.09615384615384616,0.24483524486091024
primary_gaussian_linear_time,A+T+,>2y,59,57,4.686440677966102,4.694209435383393,0.06779661016949153,-0.007768757417290511
primary_gaussian_linear_time,A+T+,baseline,115,115,2.8956521739130436,2.9259283837663834,0.10434782608695652,-0.03027620985334056
primary_gaussian_linear_time,A+T-,"(0,1]y",10,9,2.3,1.7079722726383697,0.2,0.5920277273616301
primary_gaussian_linear_time,A+T-,"(1,2]y",75,74,1.0666666666666667,1.2443673154122135,0.4666666666666667,-0.17770064874554642
primary_gaussian_linear_time,A+T-,>2y,74,71,1.3445945945945945,1.447941747151733,0.5135135135135135,-0.10334715255713839
primary_gaussian_linear_time,A+T-,baseline,108,108,0.8611111111111112,1.0309311205501601,0.49074074074074076,-0.16982000943904915
gaussian_quadratic_time,A+T+,"(0,1]y",8,8,5.9375,4.754364612157822,0.0,1.1831353878421784
gaussian_quadratic_time,A+T+,"(1,2]y",104,101,4.223076923076923,4.219848074370793,0.09615384615384616,0.003228848706130152
gaussian_quadratic_time,A+T+,>2y,59,57,4.686440677966102,4.504402787291986,0.06779661016949153,0.18203789067411447
gaussian_quadratic_time,A+T+,baseline,115,115,2.8956521739130436,2.78332394750309,0.10434782608695652,0.11232822640995384
gaussian_quadratic_time,A+T-,"(0,1]y",10,9,2.3,1.7594013190090958,0.2,0.5405986809909042
gaussian_quadratic_time,A+T-,"(1,2]y",75,74,1.0666666666666667,1.2951860633312444,0.4666666666666667,-0.22851939666457782
gaussian_quadratic_time,A+T-,>2y,74,71,1.3445945945945945,1.4264654701012418,0.5135135135135135,-0.08187087550664707
gaussian_quadratic_time,A+T-,baseline,108,108,0.8611111111111112,1.0061801132191324,0.49074074074074076,-0.1450690021080213
fractional_logit_linear_time,A+T+,"(0,1]y",8,8,5.9375,4.382689210287497,0.0,1.5548107897125027
fractional_logit_linear_time,A+T+,"(1,2]y",104,101,4.223076923076923,3.767144988223294,0.09615384615384616,0.4559319348536292
fractional_logit_linear_time,A+T+,>2y,59,57,4.686440677966102,4.542350583664844,0.06779661016949153,0.1440900943012573
fractional_logit_linear_time,A+T+,baseline,115,115,2.8956521739130436,2.8089443614176046,0.10434782608695652,0.08670781249543857
fractional_logit_linear_time,A+T-,"(0,1]y",10,9,2.3,1.7310567118408127,0.2,0.5689432881591876
fractional_logit_linear_time,A+T-,"(1,2]y",75,74,1.0666666666666667,1.422103819160181,0.4666666666666667,-0.35543715249351443
fractional_logit_linear_time,A+T-,>2y,74,71,1.3445945945945945,1.6143399079947103,0.5135135135135135,-0.26974531340011576
fractional_logit_linear_time,A+T-,baseline,108,108,0.8611111111111112,1.207394581446266,0.49074074074074076,-0.34628347033515516
