group,variable,n_total,n_nonmissing,n_missing,mean,sd,median,q25,q75,n_positive,proportion
A-T-,age_at_tau,558,525,33,71.99784704761903,8.300303334003253,71.9261,66.3107,77.3169,,
A-T-,sex_male,558,557,1,0.4614003590664273,0.4989559382082271,0.0,0.0,1.0,257,0.4614003590664273
A-T-,education_years,558,556,2,16.6294964028777,2.4581822402159617,16.0,15.75,18.0,,
A-T-,apoe4_carrier,558,544,14,0.23897058823529413,0.4268472443811124,0.0,0.0,0.0,130,0.23897058823529413
A-T-,tau_temporal_suvr,558,558,0,1.172537634408602,0.07056164410506921,1.1775,1.126,1.21875,,
A-T-,cdrsb,558,531,27,0.556497175141243,1.1746577861720606,0.0,0.0,0.5,,
A-T+,age_at_tau,19,18,1,77.9589388888889,8.179095892301149,76.3929,71.29634999999999,85.045175,,
A-T+,sex_male,19,19,0,0.631578947368421,0.4955946277833521,1.0,0.0,1.0,12,0.631578947368421
A-T+,education_years,19,19,0,16.789473684210527,2.7804665349625743,16.0,16.0,18.5,,
A-T+,apoe4_carrier,19,19,0,0.15789473684210525,0.37463432463267754,0.0,0.0,0.0,3,0.15789473684210525
A-T+,tau_temporal_suvr,19,19,0,1.5019473684210525,0.3659176400479288,1.379,1.3565,1.4325,,
A-T+,cdrsb,19,19,0,1.2105263157894737,2.181460962250886,0.0,0.0,1.25,,
A+T-,age_at_tau,194,177,17,76.06384858757062,7.8346189997076685,75.7892,70.8364,81.7687,,
A+T-,sex_male,194,194,0,0.4536082474226804,0.49913123606167603,0.0,0.0,1.0,88,0.4536082474226804
A+T-,education_years,194,192,2,16.541666666666668,2.362076762461934,16.0,15.0,18.0,,
A+T-,apoe4_carrier,194,189,5,0.5343915343915344,0.5001406984297765,1.0,0.0,1.0,101,0.5343915343915344
A+T-,tau_temporal_suvr,194,194,0,1.2064278350515463,0.07731174661201641,1.21,1.1555,1.26775,,
A+T-,cdrsb,194,185,9,0.8621621621621621,1.3904470956258745,0.0,0.0,1.0,,
A+T+,age_at_tau,191,182,9,75.01493186813187,7.984484863201352,75.11015,69.625575,80.61535,,
A+T+,sex_male,191,191,0,0.450261780104712,0.49882750373142,0.0,0.0,1.0,86,0.450261780104712
A+T+,education_years,191,191,0,15.905759162303665,2.4130169638872654,16.0,14.0,18.0,,
A+T+,apoe4_carrier,191,190,1,0.7,0.4594682917363407,1.0,0.0,1.0,133,0.7
A+T+,tau_temporal_suvr,191,191,0,1.7747068062827225,0.4146605179709747,1.656,1.4529999999999998,2.005,,
A+T+,cdrsb,191,184,7,3.0543478260869565,3.0406683563353782,2.0,1.0,4.5,,
Baseline eligible,age_at_tau,336,336,0,75.57753035714285,7.929747872868014,75.5989,70.103325,81.327175,,
Baseline eligible,sex_male,336,336,0,0.4583333333333333,0.4990039830746626,0.0,0.0,1.0,154,0.4583333333333333
Baseline eligible,education_years,336,336,0,16.258928571428573,2.388075609621854,16.0,14.0,18.0,,
Baseline eligible,apoe4_carrier,336,336,0,0.6309523809523809,0.4832665444136787,1.0,0.0,1.0,212,0.6309523809523809
Baseline eligible,tau_temporal_suvr,336,336,0,1.5014136904761906,0.41494189306212687,1.358,1.22125,1.66625,,
Baseline eligible,baseline_cdrsb,336,336,0,2.0,2.631893932445187,1.0,0.0,3.0,,
Baseline eligible,baseline_offset_days,336,336,0,-43.44345238095238,39.63983092555619,-35.0,-64.0,-11.75,,
With follow-up,age_at_tau,223,223,0,75.8504609865471,7.469434732538419,75.6906,70.34225,81.4675,,
With follow-up,sex_male,223,223,0,0.48878923766816146,0.5009988810392387,0.0,0.0,1.0,109,0.48878923766816146
With follow-up,education_years,223,223,0,16.112107623318387,2.344436878368308,16.0,14.0,18.0,,
With follow-up,apoe4_carrier,223,223,0,0.5919282511210763,0.4925822328202378,1.0,0.0,1.0,132,0.5919282511210763
With follow-up,tau_temporal_suvr,223,223,0,1.4780358744394617,0.3895510103930144,1.348,1.2165,1.634,,
With follow-up,baseline_cdrsb,223,223,0,1.9103139013452914,2.4140227332976703,1.0,0.0,2.5,,
With follow-up,baseline_offset_days,223,223,0,-44.775784753363226,39.74030502415551,-35.0,-64.0,-14.0,,
Without follow-up,age_at_tau,113,113,0,75.03891504424779,8.777906180273426,75.0992,69.3279,80.9884,,
Without follow-up,sex_male,113,113,0,0.39823008849557523,0.4917138941797928,0.0,0.0,1.0,45,0.39823008849557523
Without follow-up,education_years,113,113,0,16.548672566371682,2.4567369126346006,16.0,15.0,18.0,,
Without follow-up,apoe4_carrier,113,113,0,0.7079646017699115,0.4567238914502851,1.0,0.0,1.0,80,0.7079646017699115
Without follow-up,tau_temporal_suvr,113,113,0,1.5475486725663716,0.4593117325946672,1.378,1.238,1.7,,
Without follow-up,baseline_cdrsb,113,113,0,2.1769911504424777,3.0199636010565922,1.0,0.0,3.0,,
Without follow-up,baseline_offset_days,113,113,0,-40.8141592920354,39.48452424516797,-32.0,-63.0,-7.0,,
