model,diagnosis,period,n_people,n_observations,observed_mean,fitted_mean,mean_residual,fitted_below_zero,fitted_above_18
gaussian_original,CN,"(0,1]y",2,3,0.3333333333333333,1.580677559102303,-1.2473442257689697,0,0
gaussian_original,CN,"(1,2]y",47,48,0.22916666666666666,1.5124155556653147,-1.2832488889986482,3,0
gaussian_original,CN,>2y,54,55,0.39090909090909093,1.7539962123491053,-1.3630871214400144,2,0
gaussian_original,CN,baseline,77,77,0.09090909090909091,1.2108497543949255,-1.1199406634858344,5,0
gaussian_original,Dementia,"(0,1]y",6,6,7.5,4.266319458313514,3.233680541686487,0,0
gaussian_original,Dementia,"(1,2]y",45,45,7.082222222222222,4.450357980214848,2.631864242007373,0,0
gaussian_original,Dementia,>2y,22,22,7.386363636363637,4.438209065199677,2.9481545711639585,0,0
gaussian_original,Dementia,baseline,51,51,5.029411764705882,3.2325270464308717,1.7968847182750107,0,0
gaussian_original,MCI,"(0,1]y",9,9,2.7222222222222223,2.485221805892318,0.23700041632990457,0,0
gaussian_original,MCI,"(1,2]y",83,86,2.203488372093023,2.7232863652183483,-0.5197979931253256,2,0
gaussian_original,MCI,>2y,52,56,3.4285714285714284,3.3927795511295478,0.035791877441880615,2,0
gaussian_original,MCI,baseline,95,95,1.7105263157894737,1.9971369968017658,-0.28661068101229237,2,0
gaussian_stage,CN,"(0,1]y",2,3,0.3333333333333333,0.19215179099192506,0.14118154234140826,1,0
gaussian_stage,CN,"(1,2]y",47,48,0.22916666666666666,0.24259657221453954,-0.013429905547872878,20,0
gaussian_stage,CN,>2y,54,55,0.39090909090909093,0.37582673980295006,0.015082351106140783,18,0
gaussian_stage,CN,baseline,77,77,0.09090909090909091,0.09881088924109199,-0.007901798332001077,31,0
gaussian_stage,Dementia,"(0,1]y",6,6,7.5,6.432840739285997,1.0671592607140024,0,0
gaussian_stage,Dementia,"(1,2]y",45,45,7.082222222222222,6.8865849897648745,0.19563723245734638,0,0
gaussian_stage,Dementia,>2y,22,22,7.386363636363637,7.731734688671948,-0.3453710523083115,0,0
gaussian_stage,Dementia,baseline,51,51,5.029411764705882,5.17859740929572,-0.1491856445898376,0,0
gaussian_stage,MCI,"(0,1]y",9,9,2.7222222222222223,2.217847763515986,0.5043744587062364,0,0
gaussian_stage,MCI,"(1,2]y",83,86,2.203488372093023,2.458098997403215,-0.25461062531019163,0,0
gaussian_stage,MCI,>2y,52,56,3.4285714285714284,3.237066039806382,0.1915053887650465,0,0
gaussian_stage,MCI,baseline,95,95,1.7105263157894737,1.640706927605497,0.06981938818397665,0,0
fractional_logit_original,CN,"(0,1]y",2,3,0.3333333333333333,1.597168440231064,-1.2638351068977307,0,0
fractional_logit_original,CN,"(1,2]y",47,48,0.22916666666666666,1.615407998271456,-1.3862413316047892,0,0
fractional_logit_original,CN,>2y,54,55,0.39090909090909093,1.8527839767863055,-1.4618748858772146,0,0
fractional_logit_original,CN,baseline,77,77,0.09090909090909091,1.333399098581386,-1.242490007672295,0,0
fractional_logit_original,Dementia,"(0,1]y",6,6,7.5,4.475025048600081,3.024974951399919,0,0
fractional_logit_original,Dementia,"(1,2]y",45,45,7.082222222222222,4.367553329720816,2.7146688925014058,0,0
fractional_logit_original,Dementia,>2y,22,22,7.386363636363637,4.374229897457321,3.0121337389063156,0,0
fractional_logit_original,Dementia,baseline,51,51,5.029411764705882,3.224355262147714,1.805056502558169,0,0
fractional_logit_original,MCI,"(0,1]y",9,9,2.7222222222222223,2.3033805764904915,0.41884164573173055,0,0
fractional_logit_original,MCI,"(1,2]y",83,86,2.203488372093023,2.6088532727647618,-0.4053649006717386,0,0
fractional_logit_original,MCI,>2y,52,56,3.4285714285714284,3.380779663580831,0.04779176499059758,0,0
fractional_logit_original,MCI,baseline,95,95,1.7105263157894737,1.9611933410412763,-0.2506670252518025,0,0
fractional_logit_stage,CN,"(0,1]y",2,3,0.3333333333333333,0.18404654179066546,0.14928679154266786,0,0
fractional_logit_stage,CN,"(1,2]y",47,48,0.22916666666666666,0.22426244525082598,0.004904221415840679,0,0
fractional_logit_stage,CN,>2y,54,55,0.39090909090909093,0.3783179719044327,0.012591119004658107,0,0
fractional_logit_stage,CN,baseline,77,77,0.09090909090909091,0.10877629282915026,-0.017867201920059316,0,0
fractional_logit_stage,Dementia,"(0,1]y",6,6,7.5,6.476523897681228,1.0234761023187728,0,0
fractional_logit_stage,Dementia,"(1,2]y",45,45,7.082222222222222,6.914380931127061,0.16784129109515908,0,0
fractional_logit_stage,Dementia,>2y,22,22,7.386363636363637,7.690766026798573,-0.30440239043493733,0,0
fractional_logit_stage,Dementia,baseline,51,51,5.029411764705882,5.166605139678946,-0.13719337497306391,0,0
fractional_logit_stage,MCI,"(0,1]y",9,9,2.7222222222222223,2.109983463022276,0.6122387591999467,0,0
fractional_logit_stage,MCI,"(1,2]y",83,86,2.203488372093023,2.387400942191369,-0.1839125700983455,0,0
fractional_logit_stage,MCI,>2y,52,56,3.4285714285714284,3.288928351664114,0.13964307690731478,0,0
fractional_logit_stage,MCI,baseline,95,95,1.7105263157894737,1.6843545274858054,0.026171788303668446,0,0
