"go_id","NGenes","full_direction","full_p_value","full_fdr","direction_leave_out_EC","direction_leave_out_FC","direction_leave_out_TC","directionally_stable"
"GO:0030593",47,"Down",8.83895280374683e-08,0.000214786553131048,"Down","Down","Down",TRUE
"GO:0042776",43,"Down",1.92713633460331e-06,0.00162587108423031,"Down","Down","Down",TRUE
"GO:0071222",137,"Down",2.00724825213618e-06,0.00162587108423031,"Down","Down","Down",TRUE
"GO:0034341",26,"Down",4.2858901115169e-06,0.00256030615375902,"Down","Down","Down",TRUE
"GO:0060333",10,"Down",5.26811965794036e-06,0.00256030615375902,"Down","Down","Down",TRUE
"GO:0002230",24,"Down",6.47741495187342e-06,0.00262335305550874,"Down","Down","Down",TRUE
"GO:0009060",49,"Down",2.40887872368523e-05,0.0081886986473035,"Down","Down","Down",TRUE
"GO:0050729",81,"Down",2.69586786742502e-05,0.0081886986473035,"Down","Down","Down",TRUE
"GO:0071816",16,"Down",3.06632040293676e-05,0.00827906508792926,"Down","Down","Down",TRUE
"GO:0032543",81,"Down",5.0755615466719e-05,0.0123336145584127,"Down","Down","Down",TRUE
"GO:0032757",56,"Down",5.81231895129488e-05,0.0128399409560423,"Down","Down","Down",TRUE
"GO:0032481",30,"Down",7.2853356378379e-05,0.0136179735384201,"Down","Down","Down",TRUE
"GO:0032981",50,"Down",7.05163972453118e-05,0.0136179735384201,"Down","Down","Down",TRUE
"GO:0042742",101,"Down",8.01943158321032e-05,0.0139194419622865,"Down","Down","Down",TRUE
"GO:0032755",82,"Down",0.000107591411967252,0.0174298087386948,"Down","Down","Down",TRUE
"GO:0034097",42,"Down",0.000126646976340967,0.0192345095317844,"Down","Down","Down",TRUE
"GO:0002862",22,"Down",0.00014606196389395,0.0207532147571267,"Down","Down","Down",TRUE
"GO:0042832",20,"Down",0.000153727516719457,0.0207532147571267,"Down","Down","Down",TRUE
"GO:0002639",24,"Down",0.000188322220493819,0.0217915712285705,"Down","Down","Down",TRUE
"GO:0042102",53,"Down",0.000182659990328873,0.0217915712285705,"Down","Down","Down",TRUE
"GO:2000114",13,"Up",0.000186343684973898,0.0217915712285705,"Up","Up","Up",TRUE
"GO:0050832",24,"Down",0.000244576570732514,0.0270145939490913,"Down","Down","Down",TRUE
"GO:0050766",36,"Down",0.000272672897458016,0.0288084843836078,"Down","Down","Down",TRUE
"GO:0006120",32,"Down",0.00030184430950632,0.0293392668840143,"Down","Down","Down",TRUE
"GO:0032760",79,"Down",0.00028995961969284,0.0293392668840143,"Down","Down","Down",TRUE
"GO:0048024",13,"Up",0.000339292034165581,0.0317107555008601,"Up","Up","Up",TRUE
"GO:0032731",47,"Down",0.00044045954559073,0.0396413591031657,"Down","Down","Down",TRUE
"GO:0032733",32,"Down",0.000500883877840554,0.0396640818223414,"Down","Down","Down",TRUE
"GO:0034063",19,"Up",0.000486286321483323,0.0396640818223414,"Up","Up","Up",TRUE
"GO:0043032",16,"Down",0.000472243025667626,0.0396640818223414,"Down","Down","Down",TRUE
"GO:0061844",90,"Down",0.000506002689914644,0.0396640818223414,"Down","Down","Down",TRUE
"GO:0001774",23,"Down",0.000573444640139979,0.0435459523606297,"Down","Down","Down",TRUE
"GO:0019221",112,"Down",0.00060952956588085,0.0435634366203078,"Down","Down","Down",TRUE
"GO:0006955",272,"Down",0.000682162135704023,0.0460459441600216,"Down","Down","Down",TRUE
"GO:0150104",76,"Up",0.000681953842480425,0.0460459441600216,"Up","Up","Up",TRUE
