analysis,outcome,window_days,at_stage,n,n_removed,influence_rule,n_input,n_retained,bootstrap_repetitions_planned,bootstrap_repetitions_successful,bootstrap_repetitions_failed,bootstrap_seed,huber_tuning_constant
confirmatory_180day,hippocampus_icv,180,A-T-,435.0,0.0,,,,,,,,
confirmatory_180day,hippocampus_icv,180,A+T-,140.0,0.0,,,,,,,,
confirmatory_180day,hippocampus_icv,180,A+T+,143.0,0.0,,,,,,,,
confirmatory_180day,hippocampus_icv,180,Total,718.0,0.0,,,,,,,,
sensitivity_90day,hippocampus_icv,90,A-T-,379.0,0.0,,,,,,,,
sensitivity_90day,hippocampus_icv,90,A+T-,126.0,0.0,,,,,,,,
sensitivity_90day,hippocampus_icv,90,A+T+,129.0,0.0,,,,,,,,
sensitivity_90day,hippocampus_icv,90,Total,634.0,0.0,,,,,,,,
confirmatory_180day,cdrsb,180,A-T-,488.0,0.0,,,,,,,,
confirmatory_180day,cdrsb,180,A+T-,161.0,0.0,,,,,,,,
confirmatory_180day,cdrsb,180,A+T+,175.0,0.0,,,,,,,,
confirmatory_180day,cdrsb,180,Total,824.0,0.0,,,,,,,,
sensitivity_90day,cdrsb,90,A-T-,414.0,0.0,,,,,,,,
sensitivity_90day,cdrsb,90,A+T-,135.0,0.0,,,,,,,,
sensitivity_90day,cdrsb,90,A+T+,150.0,0.0,,,,,,,,
sensitivity_90day,cdrsb,90,Total,699.0,0.0,,,,,,,,
exploratory_FDG,fdg_metaroi,180,A-T-,103.0,0.0,,,,,,,,
exploratory_FDG,fdg_metaroi,180,A+T-,44.0,0.0,,,,,,,,
exploratory_FDG,fdg_metaroi,180,A+T+,86.0,0.0,,,,,,,,
exploratory_FDG,fdg_metaroi,180,Total,233.0,0.0,,,,,,,,
influence_sensitivity,hippocampus_icv,180,A-T-,418.0,41.0,,,,,,,,
influence_sensitivity,hippocampus_icv,180,A+T-,129.0,41.0,,,,,,,,
influence_sensitivity,hippocampus_icv,180,A+T+,130.0,41.0,,,,,,,,
influence_sensitivity,hippocampus_icv,180,Total,677.0,41.0,,,,,,,,
influence_sensitivity,cdrsb,180,A-T-,474.0,54.0,,,,,,,,
influence_sensitivity,cdrsb,180,A+T-,153.0,54.0,,,,,,,,
influence_sensitivity,cdrsb,180,A+T+,143.0,54.0,,,,,,,,
influence_sensitivity,cdrsb,180,Total,770.0,54.0,,,,,,,,
influence_sensitivity,hippocampus_icv,180,,,41.0,CookD>4/n OR leverage>2p/n OR abs(studentized_residual)>3,718.0,677.0,,,,,
influence_sensitivity,cdrsb,180,,,54.0,CookD>4/n OR leverage>2p/n OR abs(studentized_residual)>3,824.0,770.0,,,,,
huber_bootstrap_sensitivity,cdrsb,180,,,,,824.0,,2000.0,1990.0,10.0,20260715.0,1.345
