analysis,outcome,family,contrast,n_complete_case,beta,hc3_standard_error,ci95_lower,ci95_upper,p_value,fdr_bh,fdr_family,joint_chi_square,degrees_of_freedom,apoe4_status,n_total_interaction_model,n_apoe4_stratum,n_removed,bootstrap_empirical_two_sided_p,bootstrap_repetitions_planned,bootstrap_repetitions_successful,bootstrap_repetitions_failed,bootstrap_seed,huber_tuning_constant
confirmatory_180day,hippocampus_icv,confirmatory,A+T- vs A-T-,718.0,-4.257322010386225e-05,6.550512332848802e-05,-0.0001709632618276988,8.581682161997428e-05,0.5157426130859601,0.5157426130859601,four confirmatory contrasts,,,,,,,,,,,,
confirmatory_180day,hippocampus_icv,confirmatory,A+T+ vs A-T-,718.0,-0.0006005773924326568,7.267419175346463e-05,-0.0007430188082694475,-0.00045813597659586616,1.4090519417550774e-16,2.8181038835101547e-16,four confirmatory contrasts,,,,,,,,,,,,
confirmatory_180day,cdrsb,confirmatory,A+T- vs A-T-,824.0,0.20384203030540654,0.13716802700349373,-0.06500730262144117,0.47269136323225425,0.13725917888478037,0.1830122385130405,four confirmatory contrasts,,,,,,,,,,,,
confirmatory_180day,cdrsb,confirmatory,A+T+ vs A-T-,824.0,2.285876350824915,0.2494290406534827,1.7969954311440888,2.774757270505741,4.980697469071126e-20,1.9922789876284505e-19,four confirmatory contrasts,,,,,,,,,,,,
exploratory_FDG,fdg_metaroi,exploratory_FDG,A+T- vs A-T-,233.0,-0.0017600377506342205,0.016048389669081634,-0.03321488150203422,0.02969480600076578,0.9126705569206138,0.9126705569206138,two exploratory FDG contrasts,,,,,,,,,,,,
exploratory_FDG,fdg_metaroi,exploratory_FDG,A+T+ vs A-T-,233.0,-0.07229389467941649,0.01487682984976414,-0.1014524811849542,-0.04313530817387878,1.176849784998101e-06,2.353699569996202e-06,two exploratory FDG contrasts,,,,,,,,,,,,
APOE_joint_interaction,hippocampus_icv,,,718.0,,,,,0.19809601631859947,0.39619203263719893,two APOE interaction tests,3.2380068698531526,2.0,,,,,,,,,,
APOE_joint_interaction,cdrsb,,,824.0,,,,,0.8717996860983344,0.8717996860983344,two APOE interaction tests,0.27439119847893384,2.0,,,,,,,,,,
APOE_stratified_display,hippocampus_icv,,A+T- vs A-T-,,-1.471649688286596e-05,9.005933944866342e-05,-0.00019123280220224626,0.00016179980843651436,0.8701965021020723,,display only; no additional FDR family,,,noncarrier,718.0,435.0,,,,,,,
APOE_stratified_display,hippocampus_icv,,A+T- vs A-T-,,-0.00011001484564216947,9.208096013779384e-05,-0.0002904935275122454,7.046383622790645e-05,0.23217997350917585,,display only; no additional FDR family,,,carrier,718.0,283.0,,,,,,,
APOE_stratified_display,hippocampus_icv,,A+T+ vs A-T-,,-0.0004439488737381491,0.00012811298957334774,-0.0006950503333019106,-0.00019284741417438755,0.0005296567382367284,,display only; no additional FDR family,,,noncarrier,718.0,435.0,,,,,,,
APOE_stratified_display,hippocampus_icv,,A+T+ vs A-T-,,-0.000715422438391623,8.84529004489344e-05,-0.0008887901232715345,-0.0005420547535117115,6.056590542927234e-16,,display only; no additional FDR family,,,carrier,718.0,283.0,,,,,,,
APOE_stratified_display,cdrsb,,A+T- vs A-T-,,0.1918991267855437,0.17469377528827984,-0.15050067277948478,0.5342989263505722,0.2719911775765689,,display only; no additional FDR family,,,noncarrier,824.0,493.0,,,,,,,
APOE_stratified_display,cdrsb,,A+T- vs A-T-,,0.17743765610828346,0.2059340836689309,-0.2261931478828211,0.5810684600993881,0.38889470773424095,,display only; no additional FDR family,,,carrier,824.0,331.0,,,,,,,
APOE_stratified_display,cdrsb,,A+T+ vs A-T-,,2.4673492843217213,0.482996627705302,1.5206758940193295,3.414022674624113,3.248651376285195e-07,,display only; no additional FDR family,,,noncarrier,824.0,493.0,,,,,,,
APOE_stratified_display,cdrsb,,A+T+ vs A-T-,,2.1698713279369146,0.2878909576259234,1.6056050509901048,2.7341376048837245,4.804304825170723e-14,,display only; no additional FDR family,,,carrier,824.0,331.0,,,,,,,
sensitivity_90day,hippocampus_icv,sensitivity_90day,A+T- vs A-T-,634.0,-9.226713688397127e-05,7.042244066552107e-05,-0.00023029512058839256,4.576084682045002e-05,0.19012984202685845,0.19012984202685845,four 90-day contrasts,,,,,,,,,,,,
sensitivity_90day,hippocampus_icv,sensitivity_90day,A+T+ vs A-T-,634.0,-0.0006380794045051843,8.036745774605938e-05,-0.0007955996216874606,-0.0004805591873229079,2.029577031765732e-15,4.059154063531464e-15,four 90-day contrasts,,,,,,,,,,,,
sensitivity_90day,cdrsb,sensitivity_90day,A+T- vs A-T-,699.0,0.31291105897852306,0.1529038356037155,0.013219541195240658,0.6126025767618055,0.04071147120281396,0.05428196160375195,four 90-day contrasts,,,,,,,,,,,,
sensitivity_90day,cdrsb,sensitivity_90day,A+T+ vs A-T-,699.0,2.4217792755015406,0.28542257086396666,1.862351036608166,2.9812075143949155,2.1592186271193695e-17,8.636874508477478e-17,four 90-day contrasts,,,,,,,,,,,,
influence_sensitivity,hippocampus_icv,influence,A+T- vs A-T-,677.0,-2.5276394890283294e-05,5.387500691632704e-05,-0.0001308714084462843,8.03186186657177e-05,0.6389500124383829,0.6389500124383829,four influence-sensitivity contrasts,,,,,,41.0,,,,,,
influence_sensitivity,hippocampus_icv,influence,A+T+ vs A-T-,677.0,-0.0006351495565911732,6.314342074190151e-05,-0.0007589106612453002,-0.0005113884519370463,8.398215428994672e-24,1.6796430857989343e-23,four influence-sensitivity contrasts,,,,,,41.0,,,,,,
influence_sensitivity,cdrsb,influence,A+T- vs A-T-,770.0,0.16861375761061856,0.09962638398950857,-0.02665395500881823,0.36388147023005535,0.09055813279263947,0.12074417705685263,four influence-sensitivity contrasts,,,,,,54.0,,,,,,
influence_sensitivity,cdrsb,influence,A+T+ vs A-T-,770.0,1.6238218121406414,0.14709523210890738,1.3355151572071828,1.9121284670741,2.4707249931906803e-28,9.882899972762721e-28,four influence-sensitivity contrasts,,,,,,54.0,,,,,,
huber_bootstrap_sensitivity,cdrsb,,A+T- vs A-T-,824.0,0.09071856828759267,,-0.009103571528137067,0.22085811930071997,,,,,,,,,,0.07935710698141638,2000.0,1990.0,10.0,20260715.0,1.345
huber_bootstrap_sensitivity,cdrsb,,A+T+ vs A-T-,824.0,1.880684884054389,,1.5185758204174737,2.293247097654431,,,,,,,,,,0.0010045203415369162,2000.0,1990.0,10.0,20260715.0,1.345
