group,variable,n_total,n_available,n_missing
A-T-,age_at_tau,558,525,33
A-T-,sex_male,558,557,1
A-T-,education_years,558,556,2
A-T-,apoe4_carrier,558,544,14
A-T-,tau_temporal_suvr,558,558,0
A-T-,cdrsb,558,531,27
A-T-,diagnosis_at_tau,558,540,18
A-T+,age_at_tau,19,18,1
A-T+,sex_male,19,19,0
A-T+,education_years,19,19,0
A-T+,apoe4_carrier,19,19,0
A-T+,tau_temporal_suvr,19,19,0
A-T+,cdrsb,19,19,0
A-T+,diagnosis_at_tau,19,18,1
A+T-,age_at_tau,194,177,17
A+T-,sex_male,194,194,0
A+T-,education_years,194,192,2
A+T-,apoe4_carrier,194,189,5
A+T-,tau_temporal_suvr,194,194,0
A+T-,cdrsb,194,185,9
A+T-,diagnosis_at_tau,194,192,2
A+T+,age_at_tau,191,182,9
A+T+,sex_male,191,191,0
A+T+,education_years,191,191,0
A+T+,apoe4_carrier,191,190,1
A+T+,tau_temporal_suvr,191,191,0
A+T+,cdrsb,191,184,7
A+T+,diagnosis_at_tau,191,187,4
Baseline eligible,age_at_tau,336,336,0
Baseline eligible,sex_male,336,336,0
Baseline eligible,education_years,336,336,0
Baseline eligible,apoe4_carrier,336,336,0
Baseline eligible,tau_temporal_suvr,336,336,0
Baseline eligible,baseline_cdrsb,336,336,0
Baseline eligible,baseline_offset_days,336,336,0
Baseline eligible,diagnosis_at_tau,336,333,3
With follow-up,age_at_tau,223,223,0
With follow-up,sex_male,223,223,0
With follow-up,education_years,223,223,0
With follow-up,apoe4_carrier,223,223,0
With follow-up,tau_temporal_suvr,223,223,0
With follow-up,baseline_cdrsb,223,223,0
With follow-up,baseline_offset_days,223,223,0
With follow-up,diagnosis_at_tau,223,223,0
Without follow-up,age_at_tau,113,113,0
Without follow-up,sex_male,113,113,0
Without follow-up,education_years,113,113,0
Without follow-up,apoe4_carrier,113,113,0
Without follow-up,tau_temporal_suvr,113,113,0
Without follow-up,baseline_cdrsb,113,113,0
Without follow-up,baseline_offset_days,113,113,0
Without follow-up,diagnosis_at_tau,113,110,3
