Characteristic,A-T-,A-T+,A+T-,A+T+
"Participants, n",558,19,194,191
"Age, years",72.0 (8.3); n=525,78.0 (8.2); n=18,76.1 (7.8); n=177,75.0 (8.0); n=182
Male sex,257/557 (46.1%),12/19 (63.2%),88/194 (45.4%),86/191 (45.0%)
"Education, years",16.6 (2.5); n=556,16.8 (2.8); n=19,16.5 (2.4); n=192,15.9 (2.4); n=191
APOE ε4 carrier,130/544 (23.9%),3/19 (15.8%),101/189 (53.4%),133/190 (70.0%)
Tau SUVR,1.177 (1.126–1.219); n=558,1.379 (1.357–1.433); n=19,1.210 (1.155–1.268); n=194,1.656 (1.453–2.005); n=191
CDR-SB,0.0 (0.0–0.5); n=531,0.0 (0.0–1.2); n=19,0.0 (0.0–1.0); n=185,2.0 (1.0–4.5); n=184
Diagnosis: CN,380/540 (70.4%),10/18 (55.6%),110/192 (57.3%),33/187 (17.6%)
Diagnosis: MCI,145/540 (26.9%),7/18 (38.9%),66/192 (34.4%),88/187 (47.1%)
Diagnosis: Dementia,15/540 (2.8%),1/18 (5.6%),16/192 (8.3%),66/187 (35.3%)
"Diagnosis unavailable, n",18,1,2,4
"Hippocampus/ICV model, n",435,Descriptive only,140,143
"CDR-SB model, n",488,Descriptive only,161,175
